Time | Swap | PID | Size | Dur. | Memory Map
 55  | in   | P64 | 05   | 4    | P64 P64 P64 P64 P64 . . . P62 P62 P62 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 56  | in   | P65 | 03   | 4    | P64 P64 P64 P64 P64 P65 P65 P65 P62 P62 P62 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 57  | in   | P66 | 04   | 1    | P64 P64 P64 P64 P64 P65 P65 P65 P62 P62 P62 P66 P66 P66 P66 . . . . . . . . . . . . . . . . . . . . . . . . . 
 58  | out  | P62 |      |      | P64 P64 P64 P64 P64 P65 P65 P65 . . . P66 P66 P66 P66 . . . . . . . . . . . . . . . . . . . . . . . . . 
 58  | out  | P66 |      |      | P64 P64 P64 P64 P64 P65 P65 P65 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 58  | in   | P67 | 03   | 3    | P64 P64 P64 P64 P64 P65 P65 P65 P67 P67 P67 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 59  | out  | P64 |      |      | . . . . . P65 P65 P65 P67 P67 P67 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 59  | in   | P68 | 05   | 4    | P68 P68 P68 P68 P68 P65 P65 P65 P67 P67 P67 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 


# of processes swapped in: 59
